id,key,name,project.id,jiraProjectVersion,status.id,folder.id,description,plannedStartDate,plannedEndDate,owner.accountId,Environment,links.issues.self,links.issues.issueId,links.issues.id,links.issues.target,links.issues.type,links.webLinks.self,links.webLinks.description,links.webLinks.url,links.webLinks.id,links.webLinks.type,links.testPlans.id,links.testPlans.testPlanId,links.testPlans.type,links.testPlans.target
23117516,TBCC-R248,RegressivoAUT_Corporate_14-06-2024T21:12:20,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23165198,TBCC-R249,RegressivoAUT_Corporate_17-06-2024T18:2:31,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23194552,TBCC-R250,RegressivoAUT_Corporate_18-06-2024T21:20:27,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23214674,TBCC-R251,RegressivoAUT_Corporate_19-06-2024T16:10:25,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23238293,TBCC-R252,RegressivoAUT_Corporate_20-06-2024T13:28:16,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23242244,TBCC-R253,RegressivoAUT_Corporate_20-06-2024T17:14:54,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23243640,TBCC-R254,RegressivoAUT_Corporate_20-06-2024T18:56:58,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23293407,TBCC-R255,RegressivoAUT_Corporate_21-06-2024T14:48:31,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23423620,TBCC-R256,TBCC-1095 - [UserManagement] - [Usuário] - Criação de usuário na company,296786,,5360306,14997303.0,,2024-06-24T16:19:51Z,2024-06-24T16:19:51Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91287237,216186,91287237,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/216186,RELATED,,,,,,,,,
23424437,TBCC-R257,TBCC-1427 - [Device]: Filtro de busca de dispositivos por personId,296786,,5360306,14997681.0,,2024-06-24T16:54:21Z,2024-06-24T16:54:21Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91288771,239259,91288771,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/239259,RELATED,,,,,,,,,
23427339,TBCC-R258,TBCC-1047 - [Intervener] - Atualização de Interveniente,296786,,5360306,14998249.0,,2024-06-24T18:36:48Z,2024-06-24T18:36:48Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91293597,200772,91293597,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/200772,RELATED,,,,,,,,,
23428753,TBCC-R259,RegressivoAUT_Corporate_24-06-2024T19:48:22,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23429544,TBCC-R260,RegressivoAUT_Corporate_24-06-2024T20:40:50,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23429909,TBCC-R261,TBCC-1338 - [Companies] - Update Company - Atualização de Empresas,296786,,5360306,14999890.0,,2024-06-24T21:08:10Z,2024-06-24T21:08:10Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91298815,186026,91298815,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186026,RELATED,,,,,,,,,
23430467,TBCC-R262,TBCC-1343 - [Companies] - Create Company - Criação de uma empresa,296786,,5360306,15000113.0,,2024-06-24T22:00:49Z,2024-06-24T22:00:49Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/95081633,185861,95081633,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/185861,RELATED,,,,,,,,,
23470693,TBCC-R263,TBCC-1522 - Permitir a exclusão de grupo de empresas,296786,,5360306,15019550.0,,2024-06-26T14:36:14Z,2024-06-26T14:36:14Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91399650,147101,91399650,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/147101,RELATED,,,,,,,,,
23474449,TBCC-R264,TBCC-1541 - Permitir a alteração de grupo de empresa,296786,,5360306,15022074.0,,2024-06-26T18:45:45Z,2024-06-26T18:45:45Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91408652,146748,91408652,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/146748,RELATED,,,,,,,,,
